ID,Name,Genes,Length
30728,ovulation,ADAMTS1;AFP;EREG;FOXO3;GAS2;HPGD;IL4R;IMMP2L;KMT2B;LEP;MMP19;NOS3;NRIP1;PGR;PTGS2;RGS2;SIRT1;TNFAIP6,18
30832,regulation of actin filament length,ABI2;ACTN2;ACTR2;ACTR3;ACTR3B;ACTR3C;ADD1;ADD2;ADD3;ALOX15;AP1AR;ARF1;ARF6;ARFGEF1;ARFIP1;ARFIP2;ARHGAP18;ARHGAP28;ARHGAP35;ARPC1A;ARPC1B;ARPC2;ARPC3;ARPC4;ARPC5;ARPC5L;ARPIN;AVIL;BAG4;BAIAP2;BAIAP2L1;BAIAP2L2;BBS4;BIN1;BRK1;C15orf62;CAPG;CAPZA1;CAPZA2;CAPZA3;CAPZB;CCL11;CCL21;CCL24;CCL26;CCR7;CDC42EP1;CDC42EP2;CDC42EP3;CDC42EP4;CDC42EP5;CFL1;CFL2;CORO1A;CORO1B;COTL1;CSF3;CTNNA2;CTTN;CXCL12;CYFIP1;DBN1;DBNL;DLG1;DMTN;DSTN;ELN;EPS8;ESAM;EVL;F2RL1;FAM49B;FCHSD1;FCHSD2;FER;FHOD3;FMN1;GBA2;GMFB;GMFG;GRB2;GSN;HAX1;HCK;HCLS1;HIP1R;ICAM1;IQGAP2;JMY;KANK1;KANK3;KANK4;LATS1;LIMA1;LMOD1;LMOD2;LMOD3;MAGEL2;MKKS;MLST8;MTOR;MTPN;MYADM;MYO1C;NCK1;NCK2;NCKAP1;NCKAP1L;NEB;NPHS1;PAK3;PDXP;PFN1;PFN2;PFN3;PFN4;PICK1;PLEK;PLEKHG2;PLEKHH2;PPP1R9A;PREX1;PRKCD;PRKCE;PTK2B;PYCARD;RASA1;RDX;RHOA;RICTOR;SCIN;SEMA5A;SH3BP1;SLIT2;SNX9;SPIRE1;SPIRE2;SPTA1;SPTAN1;SPTB;SPTBN1;SPTBN2;SPTBN4;SPTBN5;SSH1;SSH2;SSH3;SWAP70;TENM1;TIGD5;TMOD1;TMOD2;TMOD3;TMOD4;TMSB10;TMSB4X;TMSB4Y;TRIM27;TRIOBP;TWF1;TWF2;VASP;VIL1;VILL;WAS;WASF1;WASF2;WASF3;WASL;WDR1;WHAMM;WIPF1;WIPF2;WIPF3,174
30833,regulation of actin filament polymerization,ABI2;ACTR2;ACTR3;ACTR3B;ACTR3C;ADD1;ADD2;ADD3;ALOX15;AP1AR;ARF1;ARF6;ARFGEF1;ARFIP1;ARFIP2;ARHGAP18;ARHGAP28;ARPC1A;ARPC1B;ARPC2;ARPC3;ARPC4;ARPC5;ARPC5L;ARPIN;AVIL;BAG4;BAIAP2;BAIAP2L1;BAIAP2L2;BBS4;BIN1;BRK1;C15orf62;CAPG;CAPZA1;CAPZA2;CAPZA3;CAPZB;CCL11;CCL21;CCL24;CCL26;CCR7;CDC42EP1;CDC42EP2;CDC42EP3;CDC42EP4;CDC42EP5;CORO1A;CORO1B;COTL1;CSF3;CTNNA2;CTTN;CYFIP1;DBN1;DBNL;DLG1;DMTN;ELN;EPS8;ESAM;EVL;FAM49B;FCHSD1;FCHSD2;FER;FHOD3;FMN1;GBA2;GMFB;GMFG;GRB2;GSN;HAX1;HCK;HCLS1;HIP1R;ICAM1;IQGAP2;JMY;KANK1;KANK3;KANK4;LATS1;LMOD1;LMOD2;LMOD3;MAGEL2;MKKS;MLST8;MTOR;MTPN;MYADM;MYO1C;NCK1;NCK2;NCKAP1;NCKAP1L;NPHS1;PAK3;PFN1;PFN2;PFN3;PFN4;PICK1;PLEKHG2;PPP1R9A;PREX1;PRKCD;PRKCE;PTK2B;PYCARD;RASA1;RDX;RHOA;RICTOR;SCIN;SLIT2;SNX9;SPIRE1;SPIRE2;SPTA1;SPTAN1;SPTB;SPTBN1;SPTBN2;SPTBN4;SPTBN5;SSH1;SSH2;SSH3;TENM1;TIGD5;TMOD1;TMOD2;TMOD3;TMOD4;TMSB10;TMSB4X;TMSB4Y;TRIM27;TRIOBP;TWF1;TWF2;VASP;VIL1;VILL;WAS;WASF1;WASF2;WASF3;WASL;WHAMM;WIPF1;WIPF2;WIPF3,158
30834,regulation of actin filament depolymerization,ACTN2;ADD1;ADD2;ADD3;AVIL;CAPG;CAPZA1;CAPZA2;CAPZA3;CAPZB;CFL1;CFL2;DMTN;DSTN;EPS8;F2RL1;GSN;LIMA1;LMOD1;LMOD2;LMOD3;MTPN;PDXP;PLEK;PLEKHH2;RDX;SCIN;SEMA5A;SH3BP1;SPTA1;SPTAN1;SPTB;SPTBN1;SPTBN2;SPTBN4;SPTBN5;SWAP70;TMOD1;TMOD2;TMOD3;TMOD4;TRIOBP;TWF1;TWF2;VIL1;VILL;WDR1,47
30835,negative regulation of actin filament depolymerization,ADD1;ADD2;ADD3;AVIL;CAPG;CAPZA1;CAPZA2;CAPZA3;CAPZB;DMTN;EPS8;GSN;LIMA1;LMOD1;LMOD2;LMOD3;PLEKHH2;RDX;SCIN;SPTA1;SPTAN1;SPTB;SPTBN1;SPTBN2;SPTBN4;SPTBN5;SWAP70;TMOD1;TMOD2;TMOD3;TMOD4;TRIOBP;TWF1;TWF2;VIL1;VILL,36
30836,positive regulation of actin filament depolymerization,ACTN2;CFL1;CFL2;DSTN;F2RL1;PDXP;PLEK;SEMA5A;VIL1;WDR1,10
30837,negative regulation of actin filament polymerization,ADD1;ADD2;ADD3;ARFGEF1;AVIL;BBS4;CAPG;CAPZA1;CAPZA2;CAPZA3;CAPZB;DMTN;EPS8;FAM49B;FHOD3;GSN;HIP1R;KANK1;KANK3;KANK4;LMOD1;LMOD2;LMOD3;MKKS;MYADM;PFN1;PFN2;PFN4;PRKCD;RDX;SCIN;SLIT2;SPTA1;SPTAN1;SPTB;SPTBN1;SPTBN2;SPTBN4;SPTBN5;SSH1;SSH2;SSH3;TMOD1;TMOD2;TMOD3;TMOD4;TMSB10;TMSB4X;TMSB4Y;TRIOBP;TWF1;TWF2;VIL1;VILL,54
30838,positive regulation of actin filament polymerization,ABI2;ACTR2;ACTR3;ACTR3B;ACTR3C;ALOX15;ARF6;ARPC1A;ARPC1B;ARPC2;ARPC3;ARPC4;ARPC5;ARPC5L;BAG4;BAIAP2;BAIAP2L1;BAIAP2L2;BIN1;BRK1;C15orf62;CCL11;CCL21;CCL24;CCL26;CCR7;CDC42EP1;CDC42EP2;CDC42EP3;CDC42EP4;CDC42EP5;CSF3;CTTN;CYFIP1;DLG1;EVL;FCHSD1;FCHSD2;FER;FMN1;GRB2;GSN;HCK;ICAM1;IQGAP2;JMY;LMOD1;LMOD2;LMOD3;MAGEL2;MLST8;MTOR;MYO1C;NCK1;NCK2;NCKAP1;NCKAP1L;NPHS1;PFN1;PFN2;PRKCE;PTK2B;PYCARD;RHOA;RICTOR;SCIN;SNX9;SPIRE1;SPIRE2;TENM1;TIGD5;TRIM27;VASP;VIL1;WAS;WASF1;WASF2;WASF3;WASL;WHAMM;WIPF1;WIPF2;WIPF3,83
30850,prostate gland development,ALOX15B;ANXA1;AR;BMP4;CRIP1;CTNNB1;CYP19A1;CYP7B1;ESR1;FEM1B;FGF10;FGFR2;FKBP4;FOXA1;FRS2;GLI1;GLI2;GLI3;HOXB13;HOXD13;ID4;NKX3-1;NOG;NOTCH1;PLAG1;PRLR;PSAP;PSAPL1;PTCH1;PTEN;RARA;RARG;RXRA;SERPINB5;SFRP1;SHH;SMARCC1;SOX9;TNC;TP63;UBE3A;WDR77,42
30851,granulocyte differentiation,CBFA2T3;CEBPA;CEBPE;CSF2;CSF3;DHRS7B;FASN;GATA1;GATA2;IL25;JAGN1;L3MBTL3;LBR;LEF1;NKAP;SP3;SPI1;TAL1;ZFPM1,19
30856,regulation of epithelial cell differentiation,ACVRL1;ADD1;ADIPOQ;AHI1;AJAP1;ALOX15B;APOLD1;AQP3;ARNTL;ASCL1;ATOH1;ATOH8;BAD;BMP4;BMP6;BTG1;CAV1;CBFB;CCND1;CD109;CDH5;CDKN1B;CDSN;CEACAM1;CEBPB;CITED1;CLDN5;CLOCK;CTNNB1;CTSK;CTSL;CTSV;CYP27B1;DLL1;DSPP;ERRFI1;ESRP1;ETV2;EZH2;F11R;FAT4;FOXC1;FOXE3;FOXJ1;FOXJ2;FOXN1;FRZB;GATA3;GDF2;GDF3;GDNF;GRHL1;GRHL2;GSK3A;GSK3B;H2AFY2;HES1;HES5;HEY2;HOXA7;ID1;IFNG;IKBKB;IL13;IL1B;IL20;JAG1;KDF1;KEAP1;KIAA1109;KLF7;KRT36;KRT84;LHX1;LIF;MAFF;MAFG;MED1;MESP1;MMP9;MSX2;MYCL;NCOA3;NKX6-1;NME2;NODAL;NOTCH1;NOTCH4;NUMA1;OSR1;OVOL2;PAX2;PAX6;PAX8;PPP1R12A;PRKCH;PRKX;PRLR;PROC;PROM1;PTCH1;PTCH2;REG3A;REG3G;RFX3;RHEB;ROCK1;ROCK2;RUNX1;S1PR2;S1PR3;SERPINB13;SERPINE1;SFN;SFRP4;SGPP1;SMO;SOX9;SRSF6;STAT1;STAT5B;SULT2B1;TBX3;TMEM100;TNF;TNFRSF1A;TP63;TRIM16;VCL;VDR;VEGFA;VEZF1;WNT10B;WNT9B;WWTR1;XDH;YAP1;ZEB1;ZEB2;ZFP36;ZFP36L1,141
30857,negative regulation of epithelial cell differentiation,ACVRL1;CAV1;CCND1;CDSN;CITED1;CTNNB1;DLL1;EZH2;FOXE3;FOXJ2;FRZB;GDF3;GRHL2;GSK3A;GSK3B;HES1;HES5;HOXA7;ID1;IFNG;IL13;JAG1;MMP9;MSX2;NODAL;NOTCH1;NOTCH4;OSR1;REG3A;REG3G;S1PR3;SMO;SOX9;SRSF6;STAT1;TBX3;TP63;VEGFA;XDH;YAP1;ZEB1,41
30858,positive regulation of epithelial cell differentiation,ACVRL1;ADD1;ADIPOQ;AHI1;ALOX15B;ATOH1;ATOH8;BAD;BMP4;BMP6;BTG1;CDH5;CLDN5;CTNNB1;CYP27B1;ETV2;F11R;FOXC1;FOXJ1;FOXN1;GDF2;GDNF;H2AFY2;IL13;IL20;KDF1;LHX1;LIF;MED1;MESP1;NCOA3;NKX6-1;NME2;NOTCH1;NUMA1;OVOL2;PAX2;PAX6;PAX8;PRKCH;PROC;PROM1;PTCH1;PTCH2;RFX3;S1PR2;SERPINE1;SFN;SFRP4;SOX9;SULT2B1;TMEM100;TRIM16;VDR;VEZF1;WNT10B;ZEB2,57
30859,polarized epithelial cell differentiation,CAMSAP3;CDC42;DLG5;EZR;FOXF1;IFT20;LAMA1;MSN;MYO9A;OPHN1;PTK7;RAB10;RAP2A;RHOA;SCRIB;SH3BP1;SLC9A3R1;SYNE4;TCF15;TP63;WNT5A;ZDHHC7,22
30865,cortical cytoskeleton organization,AKAP11;ANLN;ARF6;CALR;CDC42;CDK5;CIT;DLG1;EHD2;EPB41;EPB41L1;EPB41L2;EPB41L3;EZR;FHOD1;FHOD3;FMNL1;FMNL2;FMNL3;IKBKB;KIF23;LLGL1;LLGL2;NCKAP1;NCKAP1L;NLGN1;PAFAH1B1;PDCD6IP;PLEK;PLS1;PPP2R3C;RAB13;RAC1;RAC2;RAC3;RACGAP1;RHOBTB3;RHOG;RHOJ;RHOQ;RHOU;RHOV;ROCK1;ROCK2;RTKN;STRIP1;TIGD5;TLN1;TNF;TRPV4;VIL1;VPS4A;WAS;WASL;WDR1;WIPF1;WIPF2;WIPF3,58
30866,cortical actin cytoskeleton organization,AKAP11;ANLN;ARF6;CALR;CDK5;CIT;DLG1;EHD2;EPB41;EPB41L1;EPB41L2;EPB41L3;EZR;FHOD1;FHOD3;FMNL1;FMNL2;FMNL3;IKBKB;KIF23;LLGL1;LLGL2;NCKAP1;NCKAP1L;PDCD6IP;PLEK;PLS1;RAB13;RACGAP1;RHOQ;ROCK1;ROCK2;RTKN;STRIP1;TIGD5;TLN1;TNF;VIL1;VPS4A;WAS;WASL;WIPF1;WIPF2;WIPF3,44
30878,thyroid gland development,FGF10;FGF8;FOXE1;HOXA3;HOXA5;HOXB3;HOXD3;MAP2K1;MAPK1;MAPK3;NKX2-1;NKX2-5;PAX8;RAF1;SHH;SIX1;SMAD3;SRF;TBX1;TG,20
30879,mammary gland development,AKT1;AKT2;APLN;APRT;AR;AREG;ARG1;ARHGAP35;ARHGAP5;ATP2C2;ATP7A;ATP7B;BCL2L11;BMP4;BSX;BTRC;CAD;CAPN1;CAV1;CCL11;CCND1;CDO1;CEBPB;CREB1;CSF1;CSF1R;CSN2;CSN3;CYP19A1;DDR1;DHODH;EGF;ELF3;ELF5;EPHA2;ERBB4;ESR1;FASN;FGF10;FGFR2;FOXB1;FOXF1;GHRHR;GLI2;GLI3;GOT2;HIF1A;HK2;HOXA5;HOXA9;HOXB9;HOXD9;ID2;IGFBP5;IRF6;IRS2;ITGA2;JAK2;KALRN;KDM5B;LATS1;LBH;LRP5;LRP5L;LRP6;MAPK1;MED1;MSX1;MSX2;MTX1;NCOA1;NCOR2;NEURL1;NME1;NOTCH4;NRG1;NRG3;NTN1;ORAI1;OXTR;PAM;PGR;PHB2;PML;PPAT;PRL;PRLR;PTCH1;PYGO2;SCRIB;SERPINC1;SLC29A1;SLC6A3;SMO;SOCS2;SOSTDC1;SOX9;SRC;STAT5A;STAT5B;STAT6;TBX2;TBX3;TDGF1;TGFB3;TGFBR2;TNFRSF11A;TNFSF11;TPH1;UMPS;UPRT;USF2;VDR;VEGFA;WNT2;WNT3;WNT3A;WNT4;WNT5A;WNT7B;XDH;ZBTB7B;ZNF703,123
30888,regulation of B cell proliferation,ADA;AHR;ATAD5;ATM;BCL2;BCL6;BST1;BTK;CARD11;CASP3;CD22;CD300A;CD320;CD38;CD40;CD74;CD81;CDKN1A;CHRNB2;CLCF1;CTLA4;FCGR2B;FCRL3;GPR183;IKZF3;IL10;IL13;IL2;IL21;IL4;IL5;IL7;IRS2;LYN;MEF2C;MIF;MNDA;MZB1;NCKAP1L;NFATC2;PAWR;PELI1;PKN1;PTPRC;RC3H1;SASH3;SLC39A10;TFRC;TICAM1;TIRAP;TLR4;TLR9;TNFRSF13B;TNFRSF13C;TNFRSF21;TNFRSF4;TNFSF13B;TYROBP;VAV3;WNT3A,60
30889,negative regulation of B cell proliferation,ATM;BTK;CASP3;CD300A;CTLA4;FCGR2B;IL10;LYN;MNDA;PAWR;PKN1;RC3H1;TNFRSF13B;TNFRSF21;TYROBP,15
30890,positive regulation of B cell proliferation,ADA;ATAD5;BCL2;BCL6;BST1;CARD11;CD320;CD38;CD40;CD74;CD81;CDKN1A;CHRNB2;CLCF1;FCRL3;GPR183;IL13;IL2;IL21;IL4;IL5;IL7;IRS2;MEF2C;MIF;NCKAP1L;NFATC2;PELI1;PTPRC;SASH3;SLC39A10;TFRC;TICAM1;TIRAP;TLR4;TLR9;TNFRSF13C;TNFRSF4;TNFSF13B;VAV3;WNT3A,41
30901,midbrain development,ACTB;BARHL1;BASP1;CALM1;CALM2;CALM3;CASP5;CCDC14;CDC42;CKB;CMA1;CNP;COX6B1;CTNNB1;CXCR2;DLG5;DYNLL1;EN1;EN2;FGF9;FGFR1;FGFR2;FOXB1;FZD1;FZD3;FZD6;G6PD;GDF7;GLUD1;GNB4;HES1;HES3;HSPA5;INA;KAT2A;KDM2B;KDM7A;LMX1A;LRP6;MAOB;MAPKAP1;MBP;MSX1;NDRG2;NDST1;NDUFS3;NR4A2;OTX1;OTX2;PADI2;PHOX2A;PITX3;PLP1;POTEE;RAD1;RHOA;S100A1;SEC16A;SHH;SIRT2;SMAD1;SOS1;SUDS3;SYNGR3;SYPL2;TAF1;TAL2;TFAP2D;TTBK1;UQCRQ;WLS;WNT1;WNT2;WNT3;WNT3A;WNT5A;WNT9B;YWHAE;YWHAH;YWHAQ;ZNF148;ZNF430,82
30902,hindbrain development,ABAT;ABL1;AGTPBP1;AGTR2;AHI1;AIF1;ALDH1A2;ARCN1;ARL13B;ASCL1;ATF5;ATIC;ATP1B2;ATP7A;ATRN;B4GALT2;BCL2;BMP5;BMP7;C5AR1;CBLN1;CD3E;CDK5;CDK5R1;CDK5R2;CEND1;CEP290;CKB;CLP1;CNTN1;CRK;CRKL;CTNNA2;CTNNB1;DAB1;DLC1;DLL1;EGR2;EN1;EN2;EZH2;FAIM2;FCGR2B;FLNA;FOXC1;FOXP2;FZD4;GART;GATA2;GBX1;GBX2;GLI1;GLI2;GNPAT;GRID2;GRIN1;GSX2;HAP1;HERC1;HES1;HES3;HNF1B;HNRNPD;HOXA2;HOXB1;HOXB2;HOXB3;HSPA5;ITGB1;KAT2A;KCNC1;KDM2B;KIF14;KLHL1;KNDC1;LHX1;LHX5;LMX1A;LPAR1;LRP6;MAFB;MAP2K1;MDK;MECP2;MTPN;MYH10;MYO16;NAGLU;NANOS1;NCOA1;NCSTN;NEUROD1;NEUROD2;NEUROG3;NFIB;NLGN4X;NOG;OPHN1;OTX1;PAK1;PHOX2A;PHOX2B;PLXNA2;POU4F1;PPARGC1A;PROX1;PSAP;PSEN1;PSMG1;PTBP2;PTF1A;PTN;PTPN11;PTPRS;RBFOX2;RERE;RORA;RPGRIP1L;SCN5A;SCRIB;SDF4;SEC24B;SEMA4C;SERPINE2;SEZ6;SEZ6L;SHH;SLC25A46;SMAD1;SMO;SPTBN2;SSTR1;SSTR2;SSTR3;TBR1;TP53;TRNP1;TTBK2;TTC21B;TTLL1;UQCRQ;WLS;WNT1;WNT7A;XRCC1;ZNF365,146
30903,notochord development,COBL;COL2A1;CRB2;EFNA1;EPHA2;GDF3;GLI1;GLI2;ID3;KDM6A;NOG;NOTO;SOX9;STIL;TEAD2;WNT11;WNT5A;YAP1,18
30947,regulation of vascular endothelial growth factor receptor signaling pathway,ARNT;CADM4;DAB2IP;EMILIN1;EPN2;FGF10;FGF18;FGF9;FLT1;FZD4;GRB10;HGS;HHEX;HIF1A;IL1B;ITGA5;ITGB3;MMRN2;MT3;MYOF;NEDD4;PDCD6;PRKCB;PRKD2;PTPN1;TMEM204;TNMD;VEGFA;VEGFC;VTN,30
30948,negative regulation of vascular endothelial growth factor receptor signaling pathway,CADM4;DAB2IP;EMILIN1;EPN2;HGS;HHEX;MMRN2;NEDD4;PDCD6;PTPN1;TNMD,11
30949,positive regulation of vascular endothelial growth factor receptor signaling pathway,ARNT;FGF10;FGF18;FGF9;FLT1;GRB10;HIF1A;IL1B;ITGA5;ITGB3;MT3;PRKCB;PRKD2;VEGFA;VTN,15
30953,astral microtubule organization,CENPJ;CEP120;CLASP1;DLG1;EZR;KPNB1;LIMK2;NUMA1;RAB11A;TPPP,10
30968,endoplasmic reticulum unfolded protein response,ACADVL;ADD1;AMFR;ARFGAP1;ASNA1;ASNS;ATF3;ATF4;ATF6;ATF6B;ATP6V0D1;BHLHA15;CALR;CALR3;CANX;CCL2;CCND1;CDK5RAP3;CLGN;CREB3;CREB3L1;CREB3L2;CREB3L3;CREB3L4;CREBRF;CTDSP2;CTH;CUL7;CXCL8;CXXC1;DCTN1;DDIT3;DDX11;DERL1;DERL2;DERL3;DNAJB11;DNAJB9;DNAJC3;EDEM1;EIF2AK2;EIF2AK3;EIF2S1;EP300;ERN1;ERN2;EXTL1;EXTL2;EXTL3;FGF21;FKBP14;GFPT1;GOSR2;GSK3A;HDGF;HERPUD1;HERPUD2;HSP90B1;HSPA5;HYOU1;IGFBP1;KDELR3;KLHDC3;LMNA;MBTPS1;MBTPS2;NFE2L2;PARP16;PARP6;PARP8;PDIA5;PDIA6;PLA2G4B;PPP2R5B;PREB;PTPN1;RHBDD2;RNF121;RNF175;SEC31A;SERP1;SERP2;SHC1;SRPRB;SSR1;STC2;STUB1;SYVN1;TATDN2;TBL2;TLN1;TPP1;TSPYL2;VAPB;VCP;WFS1;WIPI1;XBP1;YIF1A;YOD1;ZBTB17,101
30970,"retrograde protein transport, ER to cytosol",AUP1;DERL1;DERL2;ERLEC1;FAF2;HERPUD1;HM13;HSP90B1;NPLOC4;OS9;RHBDD1;SEC61B;SEL1L;SYVN1;TMEM129;VCP,16
31000,response to caffeine,ADORA2A;CACNA1S;CAD;CASQ2;DHODH;DNMT3B;GSTM2;HDAC2;PPARG;PPARGC1A;PRKAA1;RYR1;RYR2;RYR3;SLC8A1;TMEM38A;TMEM38B,17
31016,pancreas development,ACVR2B;AKT1;ALDH1A2;ANXA1;BAK1;BMP4;BMP5;BMP6;CCDC39;CCDC40;CDK6;CELA1;CTNNB1;DLL1;DNAAF1;EIF2AK3;FGF10;FOXA2;FOXF1;FOXO1;GATA6;GDF11;GIP;GIPR;HES1;HNF1A;HNF1B;HNF4A;IGF2;IHH;IL6;IL6R;ILDR2;INSM1;INSR;ISL1;MEIS2;MEN1;MET;MNX1;MSLN;NEUROD1;NEUROG3;NKX2-2;NKX3-2;NKX6-1;NKX6-2;NPHP3;NR5A2;ONECUT1;ONECUT2;PAX4;PAX6;PDPK1;PDX1;PROX1;PTF1A;RFX3;RFX6;SHH;SIDT2;SMAD2;SMO;SOX4;SOX9;TCF7L2;WFS1;WLS;WNT5A;XBP1;ZIC3,71
31018,endocrine pancreas development,AKT1;ANXA1;BAK1;BMP4;BMP5;BMP6;CDK6;DLL1;EIF2AK3;FOXA2;FOXO1;GATA6;GIP;GIPR;HNF4A;IL6;IL6R;INSM1;MEN1;MNX1;NEUROD1;NEUROG3;NKX2-2;NKX6-1;NKX6-2;ONECUT1;ONECUT2;PAX4;PAX6;PDPK1;PDX1;RFX3;RFX6;SIDT2;SMO;SOX4;SOX9;WNT5A,38
31023,microtubule organizing center organization,ARHGEF10;ARL2;AURKA;BBS4;BCAS3;BRCA1;BRCA2;BRSK1;C2CD3;CCDC78;CCP110;CDK1;CDK2;CDK5RAP2;CENPJ;CEP120;CEP135;CEP152;CEP192;CEP250;CEP63;CEP68;CEP72;CETN1;CETN2;CETN3;CHD3;CHORDC1;CKAP5;CLASP1;CLASP2;CNTLN;CNTROB;CROCC;CTNNB1;DCTN1;E2F4;FES;GADD45A;GCC2;GOLGA2;HAUS1;HAUS2;HAUS3;HAUS4;HAUS5;HAUS6;HAUS8;HEPACAM2;KIAA0753;KIAA1614;KIF11;KIF3A;KIF3B;MCIDAS;NDE1;NDEL1;NEK2;NIN;NPM1;NUP62;ODF2;OFD1;PAFAH1B1;PARD6A;PARD6B;PARD6G;PCM1;PKD2;PLK1;PLK4;PPP1R12A;RBM14;ROCK2;RTTN;SAC3D1;SASS6;SDCCAG8;SLC16A1;SSX2IP;STIL;TUBE1;USP33;UVRAG;UXT;WDR62;XRCC2,87
31032,actomyosin structure organization,ACTA1;ACTC1;ACTG1;ACTN2;ALKBH4;ANKRD1;ANLN;ARRB1;BMP10;CAPN3;CAPN9;CASQ1;CASQ2;CDC42BPA;CDC42BPB;CDC42BPG;CFL2;CFLAR;CIT;CNN1;CNN2;CNN3;CSRP1;CSRP3;CUL3;ELN;EPB41;EPB41L1;EPB41L2;EPB41L3;EPB41L4A;EPB41L4B;EPB41L5;F11R;FAM171A1;FHDC1;FHOD3;FLII;FRMD3;FRMD5;FRMD6;ITGB1;ITGB5;KCTD13;KIF23;KLHL41;KRT19;KRT8;LDB3;LIMCH1;LMOD1;LMOD2;LMOD3;LURAP1;MEF2A;MYH10;MYH11;MYH14;MYH3;MYH6;MYH9;MYL2;MYLK3;MYO18A;MYOM1;MYOM2;MYOM3;MYOZ1;MYOZ2;MYPN;NEB;NEBL;NKX2-5;NRAP;OBSCN;OBSL1;PDCD10;PDCD6IP;PDGFRA;PDGFRB;PDLIM1;PGM5;PHACTR1;PRKAR1A;PROX1;PTK2B;RACGAP1;RHOA;ROCK1;ROCK2;RTKN;SIX4;SORBS1;SRC;SRF;SYNPO2L;TCAP;TJP1;TMOD1;TMOD2;TMOD3;TMOD4;TNFAIP1;TNNT1;TNNT2;TNNT3;TPM1;TRPM7;TTN;VPS4A;WDR1;ZYX,112
31047,gene silencing by RNA,ADAR;AGO1;AGO2;AGO3;AGO4;AJUBA;ASZ1;CELF1;CLP1;CNOT1;CNOT10;CNOT11;CNOT2;CNOT3;CNOT6;CNOT6L;CNOT7;CNOT8;DDX17;DDX4;DGCR8;DHX9;DICER1;DROSHA;EIF6;ERI1;EXD1;FAM172A;FKBP6;FMR1;HELZ;HENMT1;HNRNPA2B1;LIMD1;LIN28A;LIN28B;MAEL;METTL3;MOV10;MOV10L1;MRPL44;NCBP1;NCBP2;NOTCH4;NRDE2;PABPC1;PIWIL1;PIWIL2;PIWIL3;PIWIL4;PRKRA;PUM1;PUM2;PUS10;RAN;RBM4;SMAD1;SMAD2;SMAD3;SND1;SNIP1;SRRT;STAT3;TARBP2;TDRD1;TDRD12;TDRD9;TDRKH;TERT;TNRC6A;TNRC6B;TNRC6C;TRIM71;TSN;TSNAX;WTIP;XPO5;ZC3H7A;ZC3H7B;ZFP36,80
31053,primary miRNA processing,DGCR8;DROSHA;HNRNPA2B1;METTL3;MRPL44;PUS10;SMAD1;SMAD2;SMAD3;SRRT,10
31054,pre-miRNA processing,ADAR;AGO1;AGO2;AGO3;AGO4;DICER1;DROSHA;LIN28A;LIN28B;MRPL44;PRKRA;TARBP2,12
31056,regulation of histone modification,AKAP8;AKAP8L;ARRB1;ATG5;ATM;ATRX;AUTS2;BCL6;BCOR;BRCA1;BRD4;BRD7;C6orf89;CAMK1;CAMK2D;CCNB1;CDK9;CHEK1;CHTOP;CTBP1;CTCF;CTCFL;CTNNB1;CTR9;DMRTC2;DNMT1;DNMT3B;EED;EID1;FLCN;FMR1;FOXP3;GATA2;GATA3;GCG;GFI1;GLYR1;HDAC5;IGF2;IL1B;ING2;ISL1;IWS1;JARID2;JDP2;KAT2A;KAT7;KDM1A;KDM3A;KDM4C;KDM4D;KDM5A;KMT2A;KMT2B;KMT2E;KPNA7;LIF;LMNA;LRRK2;MAPK3;MAPK8;MECP2;MLLT6;MTF2;MTHFR;MUC1;MYB;MYOCD;NAP1L2;NELFE;NIPBL;NOC2L;NOS1;NSD1;OGT;OTUB1;PAF1;PARK7;PAX5;PAX7;PAXBP1;PAXIP1;PHF1;PHF19;PIH1D1;PINK1;PIWIL2;PPARGC1A;PRDM12;PRDM9;PRKD1;PRKD2;PRMT6;PYGO2;RAPGEF3;RIF1;RNF20;RNF40;RPS6KA4;RPS6KA5;RTF1;RUVBL2;SART3;SDR16C5;SET;SETD5;SETD7;SIN3A;SIRT1;SKI;SMAD4;SMARCB1;SNAI2;SNCA;SNW1;SPHK2;SPI1;SREBF1;SUPT6H;TADA2A;TADA2B;TADA3;TAF7;TET1;TP53;TRIP12;TTLL12;TWIST1;UBE2B;UBE2N;UBR5;UCN;USP17L2;VEGFA;WBP2;WDR5;WDR61;WDR70;ZBTB7B;ZMPSTE24;ZNF304;ZNF335;ZNF451;ZNHIT1,144
31058,positive regulation of histone modification,AKAP8;AKAP8L;ARRB1;ATM;AUTS2;BCL6;BRCA1;BRD4;BRD7;C6orf89;CCNB1;CDK9;CHTOP;CTBP1;CTNNB1;CTR9;DMRTC2;DNMT1;DNMT3B;EED;FMR1;FOXP3;GATA3;GCG;GLYR1;IL1B;ING2;ISL1;JARID2;JDP2;KAT2A;KAT7;KDM1A;KMT2A;KMT2E;KPNA7;LIF;LMNA;LRRK2;MAPK3;MECP2;MTF2;MUC1;MYB;NAP1L2;NELFE;NIPBL;NOS1;OGT;PAF1;PAX7;PAXBP1;PAXIP1;PHF1;PHF19;PIH1D1;PINK1;PIWIL2;PPARGC1A;PRDM12;PRDM9;PRKD1;PRKD2;RIF1;RNF20;RNF40;RPS6KA4;RPS6KA5;RTF1;RUVBL2;SART3;SDR16C5;SIRT1;SMAD4;SMARCB1;SNAI2;SNW1;SPHK2;SREBF1;TADA2A;TADA2B;TET1;TP53;UBE2N;VEGFA;WBP2;WDR5;WDR61;ZBTB7B;ZNF304,90
